Designator,Mid X,Mid Y,Layer,Rotation
C1,101.900000mm,-70.700000mm,Top,0
C3,69.700000mm,-77.300000mm,Top,180
C5,86.900000mm,-70.700000mm,Top,180
C6,112.750000mm,-73.100000mm,Top,90
C7,107.400000mm,-73.300000mm,Top,-90
C9,73.600000mm,-86.300000mm,Top,-90
C12,90.700000mm,-70.700000mm,Top,0
C13,88.800000mm,-70.700000mm,Top,0
C14,107.400000mm,-84.400000mm,Top,-90
C15,106.600000mm,-79.300000mm,Top,-90
C16,78.500000mm,-74.300000mm,Top,90
C17,74.700000mm,-80.500000mm,Top,90
C18,109.200000mm,-85.300000mm,Top,-90
C19,77.100000mm,-74.800000mm,Top,0
C20,76.700000mm,-88.300000mm,Top,90
C21,75.600000mm,-88.300000mm,Top,90
C22,69.700000mm,-75.300000mm,Top,180
C23,106.900000mm,-85.800000mm,Top,0
D1,68.750000mm,-74.000000mm,Top,30
D2,71.750000mm,-72.250000mm,Top,30
D3,71.750000mm,-89.500000mm,Top,-30
D4,68.750000mm,-87.750000mm,Top,-30
J1,57.940000mm,-81.000000mm,Top,-90
J4,125.500000mm,-75.000000mm,Top,90
J7,125.500000mm,-81.000000mm,Top,90
J8,125.500000mm,-87.000000mm,Top,90
Q1,81.000000mm,-84.500000mm,Top,0
Q2,81.000000mm,-80.250000mm,Top,180
Q3,81.000000mm,-75.800000mm,Top,0
Q4,81.000000mm,-71.800000mm,Top,180
R1,68.200000mm,-76.800000mm,Top,90
R2,68.000000mm,-85.600000mm,Top,180
R3,112.750000mm,-71.250000mm,Top,-90
R5,71.600000mm,-86.300000mm,Top,-90
R6,74.900000mm,-71.900000mm,Top,0
R7,74.900000mm,-72.900000mm,Top,0
R8,72.600000mm,-86.300000mm,Top,90
R9,73.100000mm,-87.800000mm,Top,180
R10,69.400000mm,-86.100000mm,Top,-90
R12,69.700000mm,-76.300000mm,Top,0
R13,73.700000mm,-78.600000mm,Top,90
R14,74.700000mm,-78.590000mm,Top,90
R15,78.500000mm,-72.400000mm,Top,-90
R16,106.400000mm,-84.400000mm,Top,-90
R17,110.500000mm,-75.200000mm,Top,90
R18,109.500000mm,-75.200000mm,Top,90
R20,76.700000mm,-90.200000mm,Top,-90
R21,75.600000mm,-90.200000mm,Top,90
R22,80.000000mm,-78.000000mm,Top,180
R23,81.900000mm,-78.000000mm,Top,0
R24,77.400000mm,-72.400000mm,Top,90
R25,76.400000mm,-72.400000mm,Top,-90
R26,70.400000mm,-86.100000mm,Top,90
RV1,80.000000mm,-89.300000mm,Top,0
SW3,116.250000mm,-87.000000mm,Top,-90
SW4,116.250000mm,-75.000000mm,Top,-90
U1,110.000000mm,-72.500000mm,Top,180
U2,73.000000mm,-75.500000mm,Top,180
U4,96.000000mm,-80.750000mm,Top,180
U5,76.900000mm,-81.000000mm,Top,90
